2025-03-04 00:33:08 | Total: 30572MB | Used: 3750MB | Free: 26332MB
2025-03-04 00:33:08 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:09 | Total: 30572MB | Used: 3758MB | Free: 26324MB
2025-03-04 00:33:09 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:10 | Total: 30572MB | Used: 3758MB | Free: 26324MB
2025-03-04 00:33:10 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:11 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:12 | Total: 30572MB | Used: 3758MB | Free: 26324MB
2025-03-04 00:33:12 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:13 | Total: 30572MB | Used: 3761MB | Free: 26321MB
2025-03-04 00:33:13 | Total: 30572MB | Used: 3761MB | Free: 26321MB
2025-03-04 00:33:14 | Total: 30572MB | Used: 3760MB | Free: 26321MB
2025-03-04 00:33:14 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:15 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:15 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:33:16 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:16 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:17 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:17 | Total: 30572MB | Used: 3759MB | Free: 26323MB
2025-03-04 00:33:18 | Total: 30572MB | Used: 3760MB | Free: 26322MB
2025-03-04 00:45:19 | Total Memory: 30572MB | Used Memory: 7897MB | Free Memory: 20897MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:19 | Total Memory: 30572MB | Used Memory: 7975MB | Free Memory: 20795MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:20 | Total Memory: 30572MB | Used Memory: 7985MB | Free Memory: 20753MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:20 | Total Memory: 30572MB | Used Memory: 7988MB | Free Memory: 20725MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44618MB
2025-03-04 00:45:21 | Total Memory: 30572MB | Used Memory: 7986MB | Free Memory: 20708MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:21 | Total Memory: 30572MB | Used Memory: 7986MB | Free Memory: 20684MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:22 | Total Memory: 30572MB | Used Memory: 7985MB | Free Memory: 20665MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:22 | Total Memory: 30572MB | Used Memory: 8032MB | Free Memory: 20593MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:23 | Total Memory: 30572MB | Used Memory: 8033MB | Free Memory: 20563MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:23 | Total Memory: 30572MB | Used Memory: 8033MB | Free Memory: 20537MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:24 | Total Memory: 30572MB | Used Memory: 8033MB | Free Memory: 20513MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:24 | Total Memory: 30572MB | Used Memory: 8057MB | Free Memory: 20467MB | Total Swap: 48054MB | Used Swap: 3435MB | Free Swap: 44619MB
2025-03-04 00:45:25 | Total Memory: 30572MB | Used Memory: 8057MB | Free Memory: 20441MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:25 | Total Memory: 30572MB | Used Memory: 8057MB | Free Memory: 20416MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:26 | Total Memory: 30572MB | Used Memory: 8056MB | Free Memory: 20398MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:26 | Total Memory: 30572MB | Used Memory: 8013MB | Free Memory: 20424MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:27 | Total Memory: 30572MB | Used Memory: 8012MB | Free Memory: 20406MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:27 | Total Memory: 30572MB | Used Memory: 8011MB | Free Memory: 20393MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:28 | Total Memory: 30572MB | Used Memory: 8011MB | Free Memory: 20378MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:28 | Total Memory: 30572MB | Used Memory: 8012MB | Free Memory: 20365MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:29 | Total Memory: 30572MB | Used Memory: 8011MB | Free Memory: 20354MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:29 | Total Memory: 30572MB | Used Memory: 8013MB | Free Memory: 20343MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:30 | Total Memory: 30572MB | Used Memory: 8013MB | Free Memory: 20332MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:30 | Total Memory: 30572MB | Used Memory: 8034MB | Free Memory: 20304MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:31 | Total Memory: 30572MB | Used Memory: 8034MB | Free Memory: 20297MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:31 | Total Memory: 30572MB | Used Memory: 8056MB | Free Memory: 20270MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44620MB
2025-03-04 00:45:32 | Total Memory: 30572MB | Used Memory: 8056MB | Free Memory: 20264MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:33 | Total Memory: 30572MB | Used Memory: 8058MB | Free Memory: 20258MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:33 | Total Memory: 30572MB | Used Memory: 8059MB | Free Memory: 20253MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:34 | Total Memory: 30572MB | Used Memory: 8057MB | Free Memory: 20252MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:34 | Total Memory: 30572MB | Used Memory: 8057MB | Free Memory: 20250MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:35 | Total Memory: 30572MB | Used Memory: 8057MB | Free Memory: 20247MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:35 | Total Memory: 30572MB | Used Memory: 7991MB | Free Memory: 20311MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:36 | Total Memory: 30572MB | Used Memory: 8013MB | Free Memory: 20288MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:36 | Total Memory: 30572MB | Used Memory: 8012MB | Free Memory: 20286MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:37 | Total Memory: 30572MB | Used Memory: 8012MB | Free Memory: 20285MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
2025-03-04 00:45:37 | Total Memory: 30572MB | Used Memory: 6364MB | Free Memory: 21933MB | Total Swap: 48054MB | Used Swap: 3433MB | Free Swap: 44621MB
